time ,strain(micro),F
0,2874.092824,-0.073397282
4.00E-07,2870.790498,-0.075295885
0.0000008,2867.452636,-0.077198046
1.20E-06,2864.080096,-0.079103001
0.0000016,2860.673759,-0.081009986
2.00E-06,2857.23453,-0.082918238
0.0000024,2853.763336,-0.084826995
2.80E-06,2850.261125,-0.086735497
0.0000032,2846.728867,-0.088642989
3.60E-06,2843.167552,-0.090548716
0.000004,2839.578191,-0.09245193
4.40E-06,2835.961813,-0.094351888
0.0000048,2832.319468,-0.096247853
5.20E-06,2828.652221,-0.098139093
0.0000056,2824.961159,-0.100024885
6.00E-06,2821.247382,-0.101904513
0.0000064,2817.512008,-0.103777272
6.80E-06,2813.756171,-0.105642464
0.0000072,2809.981018,-0.107499403
7.60E-06,2806.187713,-0.109347412
0.000008,2802.37743,-0.111185829
8.40E-06,2798.551359,-0.113014
0.0000088,2794.7107,-0.114831287
9.20E-06,2790.856665,-0.116637065
0.0000096,2786.990476,-0.118430723
1.00E-05,2783.113365,-0.120211664
0.0000104,2779.226572,-0.121979307
1.08E-05,2775.331346,-0.123733087
0.0000112,2771.428942,-0.125472456
1.16E-05,2767.520624,-0.127196883
0.000012,2763.60766,-0.128905853
1.24E-05,2759.691321,-0.130598872
0.0000128,2755.772886,-0.132275461
1.32E-05,2751.853633,-0.133935162
0.0000136,2747.934845,-0.135577538
1.40E-05,2744.017806,-0.137202169
0.0000144,2740.103801,-0.138808656
1.48E-05,2736.194113,-0.140396623
0.0000152,2732.290025,-0.141965712
1.56E-05,2728.39282,-0.143515588
0.000016,2724.503775,-0.145045937
1.64E-05,2720.624167,-0.146556467
0.0000168,2716.755265,-0.14804691
1.72E-05,2712.898335,-0.149517018
0.0000176,2709.054636,-0.150966566
1.80E-05,2705.225423,-0.152395354
0.0000184,2701.411939,-0.153803204
1.88E-05,2697.615421,-0.15518996
0.0000192,2693.837096,-0.156555491
1.96E-05,2690.078183,-0.157899688
0.00002,2686.339887,-0.159222468
2.04E-05,2682.623404,-0.16052377
0.0000208,2678.929915,-0.161803556
2.12E-05,2675.260591,-0.163061812
0.0000216,2671.616586,-0.16429855
2.20E-05,2667.999042,-0.165513804
0.0000224,2664.409085,-0.16670763
2.28E-05,2660.847822,-0.167880111
0.0000232,2657.316349,-0.16903135
2.36E-05,2653.815739,-0.170161477
0.000024,2650.347049,-0.171270642
2.44E-05,2646.911319,-0.17235902
0.0000248,2643.509566,-0.173426809
2.52E-05,2640.142791,-0.174474228
0.0000256,2636.81197,-0.175501521
2.60E-05,2633.518061,-0.176508953
0.0000264,2630.262,-0.17749681
2.68E-05,2627.044698,-0.178465403
0.0000272,2623.867045,-0.179415062
2.76E-05,2620.729908,-0.180346139
0.000028,2617.634128,-0.181259007
2.84E-05,2614.580524,-0.182154061
0.0000288,2611.569888,-0.183031713
2.92E-05,2608.602987,-0.183892398
0.0000296,2605.680563,-0.18473657
3.00E-05,2602.803331,-0.185564701
0.0000304,2599.971979,-0.186377285
3.08E-05,2597.18717,-0.18717483
0.0000312,2594.449536,-0.187957865
3.16E-05,2591.759685,-0.188726937
0.000032,2589.118194,-0.189482607
3.24E-05,2586.525614,-0.190225457
0.0000328,2583.982466,-0.190956082
3.32E-05,2581.489242,-0.191675094
0.0000336,2579.046406,-0.192383119
3.40E-05,2576.654393,-0.1930808
0.0000344,2574.313605,-0.193768793
3.48E-05,2572.02442,-0.194447768
0.0000352,2569.787182,-0.195118407
3.56E-05,2567.602206,-0.195781406
0.000036,2565.469778,-0.196437473
3.64E-05,2563.390153,-0.197087328
0.0000368,2561.363557,-0.197731701
3.72E-05,2559.390184,-0.198371332
0.0000376,2557.4702,-0.199006972
3.80E-05,2555.603739,-0.199639381
0.0000384,2553.790907,-0.200269328
3.88E-05,2552.031778,-0.200897588
0.0000392,2550.326396,-0.201524947
3.96E-05,2548.674776,-0.202152194
0.00004,2547.076905,-0.202780127
4.04E-05,2545.532737,-0.203409548
0.0000408,2544.042198,-0.204041265
4.12E-05,2542.605185,-0.20467609
0.0000416,2541.221566,-0.205314837
4.20E-05,2539.89118,-0.205958326
0.0000424,2538.613837,-0.206607377
4.28E-05,2537.38932,-0.207262812
0.0000432,2536.217382,-0.207925455
4.36E-05,2535.09775,-0.208596129
0.000044,2534.030123,-0.209275658
4.44E-05,2533.014171,-0.209964863
0.0000448,2532.049541,-0.210664566
4.52E-05,2531.135851,-0.211375583
0.0000456,2530.272693,-0.212098731
4.60E-05,2529.459635,-0.21283482
0.0000464,2528.696219,-0.213584656
4.68E-05,2527.981962,-0.214349041
0.0000472,2527.316357,-0.21512877
4.76E-05,2526.698874,-0.215924631
0.000048,2526.128958,-0.216737407
4.84E-05,2525.606033,-0.217567869
0.0000488,2525.1295,-0.218416783
4.92E-05,2524.698737,-0.219284903
0.0000496,2524.313104,-0.220172974
5.00E-05,2523.971938,-0.22108173
0.0000504,2523.674556,-0.222011893
5.08E-05,2523.420255,-0.222964171
0.0000512,2523.208316,-0.223939263
5.16E-05,2523.037998,-0.224937851
0.000052,2522.908544,-0.225960603
5.24E-05,2522.819181,-0.227008174
0.0000528,2522.769118,-0.228081199
5.32E-05,2522.757549,-0.229180301
0.0000536,2522.783652,-0.230306082
5.40E-05,2522.846592,-0.23145913
0.0000544,2522.945518,-0.232640011
5.48E-05,2523.079568,-0.233849273
0.0000552,2523.247866,-0.235087445
5.56E-05,2523.449526,-0.236355035
0.000056,2523.683647,-0.23765253
5.64E-05,2523.949323,-0.238980395
0.0000568,2524.245635,-0.240339073
5.72E-05,2524.571654,-0.241728983
0.0000576,2524.926444,-0.243150522
5.80E-05,2525.309064,-0.244604063
0.0000584,2525.718561,-0.246089953
5.88E-05,2526.153979,-0.247608515
0.0000592,2526.614356,-0.249160047
5.96E-05,2527.098725,-0.250744819
0.00006,2527.606114,-0.252363076
6.04E-05,2528.135549,-0.254015035
0.0000608,2528.686053,-0.255700886
6.12E-05,2529.256646,-0.25742079
0.0000616,2529.846348,-0.259174881
6.20E-05,2530.454177,-0.260963264
0.0000624,2531.079153,-0.262786014
6.28E-05,2531.720294,-0.264643177
0.0000632,2532.376622,-0.266534769
6.36E-05,2533.04716,-0.268460777
0.000064,2533.730933,-0.270421156
6.44E-05,2534.426973,-0.272415831
0.0000648,2535.134311,-0.274444697
6.52E-05,2535.851986,-0.276507616
0.0000656,2536.579042,-0.278604419
6.60E-05,2537.314529,-0.280734908
0.0000664,2538.057504,-0.282898851
6.68E-05,2538.80703,-0.285095986
0.0000672,2539.562178,-0.287326016
6.76E-05,2540.32203,-0.289588615
0.000068,2541.085675,-0.291883426
6.84E-05,2541.852211,-0.294210057
0.0000688,2542.620749,-0.296568086
6.92E-05,2543.390408,-0.298957059
0.0000696,2544.16032,-0.301376491
7.00E-05,2544.929629,-0.303825863
0.0000704,2545.697491,-0.306304626
7.08E-05,2546.463074,-0.308812201
0.0000712,2547.225562,-0.311347975
7.16E-05,2547.98415,-0.313911305
0.000072,2548.738049,-0.31650152
7.24E-05,2549.486485,-0.319117913
0.0000728,2550.228699,-0.321759753
7.32E-05,2550.963948,-0.324426274
0.0000736,2551.691505,-0.327116684
7.40E-05,2552.410658,-0.329830159
0.0000744,2553.120715,-0.332565849
7.48E-05,2553.821,-0.335322874
0.0000752,2554.510853,-0.338100326
7.56E-05,2555.189634,-0.34089727
0.000076,2555.856722,-0.343712745
7.64E-05,2556.511512,-0.346545763
0.0000768,2557.153419,-0.349395309
7.72E-05,2557.781879,-0.352260344
0.0000776,2558.396346,-0.355139804
7.80E-05,2558.996293,-0.358032602
0.0000784,2559.581214,-0.360937627
